Estres	Dulces
-1.31	-2.43
-1.31	-1.7
-1.3	1.76
-1.3	1.89
-1.3	2.27
-1.3	-1.85
-1.3	2.25
-1.3	1.79
-1.29	1.76
-1.29	1.84
-1.28	2.4
-1.28	2.07
-1.28	-1.58
-1.28	-2.44
-1.28	-2.99
-1.27	-1.29
-1.27	2.38
-1.27	2.03
-1.27	1.63
-1.27	-2
-1.27	1.92
-1.27	-2.41
-1.27	-1.88
-1.27	-1.28
-1.26	2.39
-1.26	-1.77
-1.26	2.57
-1.26	1.99
-1.26	2.6
-1.26	1.29
-1.26	-2.1
-1.26	1.7
-1.26	1.65
-1.26	-1.51
-1.26	-2.33
-1.26	-1.84
-1.26	-2.88
-1.25	0.96
-1.25	-1.76
-1.25	2.31
-1.25	2.65
-1.25	-0.97
-1.25	2.01
-1.24	2.35
-1.24	-1.61
-1.24	-1.26
-1.23	1.98
-1.23	-1.71
-1.23	-1.93
-1.23	1.77
-1.22	2.71
-1.22	2.2
-1.22	-1.14
-1.22	-2.47
-1.22	-1.64
-1.22	-2.15
-1.22	1.93
-1.21	-1.49
-1.21	3.15
-1.21	-2.36
-1.21	-2.32
-1.21	2.33
-1.21	-1.68
-1.21	-1.8
-1.2	-1.88
-1.2	-1.85
-1.2	-0.94
-1.2	1.58
-1.2	-3.48
-1.19	-2.17
-1.19	2.31
-1.19	-2.93
-1.19	-2.21
-1.19	1.49
-1.19	-2.42
-1.18	1.32
-1.18	2.69
-1.18	-1.78
-1.18	-2.58
-1.17	-2.02
-1.17	3.05
-1.17	-2.08
-1.17	-2.51
-1.17	2.35
-1.17	2.11
-1.17	2.54
-1.17	1.81
-1.16	-1.89
-1.16	-2.24
-1.16	2.13
-1.16	1.96
-1.16	1.45
-1.16	-3.01
-1.15	2.02
-1.15	2.47
-1.15	2.8
-1.15	2.41
-1.15	2.08
-1.15	-2
-1.15	0.95
-1.15	-2.04
-1.15	2.24
-1.14	-1.87
-1.14	-1.48
-1.13	-1.74
-1.13	2.85
-1.13	2.49
-1.13	1.21
-1.13	-2.18
-1.12	-2.06
-1.12	1.63
-1.12	-1.49
-1.12	-2.24
-1.12	1.53
-1.12	1.9
-1.12	1.86
-1.12	2.27
-1.12	1.9
-1.11	2.61
-1.11	-2.58
-1.11	-2.13
-1.11	-2.12
-1.11	2.77
-1.11	2.3
-1.1	-2.58
-1.1	-2.63
-1.1	-1.11
-1.09	1.91
-1.09	-2.75
-1.09	2.97
-1.09	-1.81
-1.09	-2.34
-1.09	-2.66
-1.09	2.15
-1.08	-2.23
-1.08	1.5
-1.07	2.01
-1.07	-2.86
-1.07	-1.07
-1.07	1.56
-1.07	-2
-1.07	-1.95
-1.06	-1.55
-1.06	-2.8
-1.06	1.9
-1.05	2.07
-1.05	1.53
-1.05	-1.8
-1.05	2.13
-1.05	-1.72
-1.05	-2.24
-1.05	-2.21
-1.05	2.16
-1.05	-1.78
-1.04	-2.04
-1.04	2.51
-1.03	3
-1.03	-0.98
-1.03	1.77
-1.03	-1.94
-1.03	-1.94
-1.02	1.17
-1.02	-2.98
-1.02	2.19
-1.02	-1.86
-1.02	-1.74
-1.02	-1.52
-1.02	-2.11
-1.02	-1.91
-1.01	-2.09
-1.01	2.24
-1.01	-1.81
-1.01	2.02
-1.01	-2.18
-1.01	-2.49
-1.01	-2.76
-1.01	1.87
-1.01	-2.75
-1.01	-2.04
-1	-2.33
-1	-2.68
-1	0.88
-1	2.31
-1	1.77
-1	2.28
-0.99	-2.14
-0.99	0.94
-0.99	-2.01
-0.99	-1.05
-0.99	1.97
-0.99	1.68
-0.98	-1.61
-0.98	-2.48
-0.98	-2.09
-0.98	1.91
-0.98	-2.73
-0.98	1.02
-0.98	1.58
-0.97	-2.69
-0.97	-2.83
-0.97	1.01
-0.97	-2.37
-0.97	1.66
-0.96	-1.37
-0.96	2.35
-0.96	1.75
-0.96	-2.01
-0.96	1.48
-0.96	2.22
-0.95	1.66
-0.95	-2.54
-0.95	1.55
-0.95	2.18
-0.95	2.34
-0.95	-2.49
-0.95	-2.46
-0.94	2.8
-0.94	-1.69
-0.94	2.03
-0.94	-2.17
-0.94	-1.87
-0.94	2.41
-0.94	-2.19
-0.93	-1.55
-0.93	1.08
-0.93	2.07
-0.93	-2.76
-0.93	-2.34
-0.93	1.24
-0.92	-2.2
-0.92	2.95
-0.92	1.61
-0.92	-1.4
-0.91	0.9
-0.91	-1.86
-0.91	1.06
-0.91	-1.73
-0.91	-2.9
-0.91	-1.71
-0.91	-1.74
-0.91	3.33
-0.91	-1.61
-0.91	1.54
-0.9	-1.71
-0.9	2.47
-0.9	-3.06
-0.9	1.65
-0.9	-1.83
-0.89	-2.7
-0.89	-1.46
-0.89	1.04
-0.88	2.39
-0.88	-1.4
-0.88	2.52
-0.88	-2.15
-0.88	1.59
-0.88	2.46
-0.87	-1.84
-0.87	-1.93
-0.87	-2.24
-0.87	1.76
-0.87	1.78
-0.87	2.7
-0.87	1.99
-0.87	-1.46
-0.86	-2.06
-0.86	1
-0.86	1.73
-0.85	-1.82
-0.85	3.32
-0.85	1.18
-0.85	1.57
-0.85	-2.69
-0.84	-1.96
-0.84	1.47
-0.84	2.13
-0.84	1.89
-0.84	1.7
-0.84	-1.42
-0.83	1.48
-0.83	1.79
-0.83	2.31
-0.83	-2.4
-0.83	2.9
-0.82	-2.48
-0.82	2.81
-0.82	1.48
-0.82	-1.92
-0.82	-1.85
-0.82	-2.94
-0.82	2.22
-0.81	-2.52
-0.81	2.28
-0.81	1.4
-0.81	-1.59
-0.81	2.13
-0.81	-1.48
-0.8	-1.91
-0.8	-1.05
-0.8	3.01
-0.8	-1.3
-0.8	-2.3
-0.8	-1.81
-0.79	1.82
-0.79	-2.68
-0.79	2
-0.79	-2.27
-0.78	2.07
-0.78	-1.99
-0.78	-1.69
-0.78	-2.15
-0.78	-1.74
-0.77	-2.2
-0.77	-1.69
-0.77	2.49
-0.77	-1.72
-0.77	-1.61
-0.77	2.14
-0.77	-2.23
-0.77	1.82
-0.77	-2.17
-0.76	-1.7
-0.76	-2.13
-0.76	1.5
-0.76	-2.87
-0.76	0.56
-0.75	-1.18
-0.75	1.4
-0.75	-2.07
-0.75	-2.16
-0.75	-2.06
-0.75	-1.27
-0.75	-2.29
-0.74	1.4
-0.74	2.3
-0.74	-2.5
-0.74	-1.84
-0.74	1.96
-0.73	2.36
-0.73	-1.32
-0.72	1.76
-0.72	1.72
-0.72	-1.44
-0.72	2.11
-0.72	2.57
-0.72	2.59
-0.72	-1.24
-0.72	2.79
-0.72	-2.38
-0.71	-1.52
-0.71	-1.45
-0.71	-1.95
-0.71	-0.86
-0.71	-1.86
-0.7	-1.32
-0.7	-2.36
-0.7	1.94
-0.7	-2.26
-0.7	1.66
-0.7	-2.42
-0.69	-2.74
-0.69	-1.95
-0.69	-1.56
-0.69	-1.47
-0.68	2.26
-0.68	-2.31
-0.68	2.06
-0.67	1.13
-0.67	-1.74
-0.66	-1.64
-0.66	2.61
-0.66	-0.73
-0.66	-2.19
-0.66	-1.05
-0.66	-1.35
-0.66	-2.18
-0.66	1.63
-0.65	1.8
-0.65	1.32
-0.65	-1.71
-0.65	0.59
-0.64	2.7
-0.64	-1.72
-0.64	1.98
-0.64	1.78
-0.63	1.73
-0.63	-2.4
-0.63	2.2
-0.63	1.56
-0.63	-1.5
-0.63	-2.54
-0.63	2.25
-0.61	2.01
-0.61	2.23
-0.61	-1.81
-0.61	-2.98
-0.6	1.53
-0.6	1.46
-0.6	2.92
-0.6	1.79
-0.58	-2.38
-0.58	1.54
-0.58	0.49
-0.58	2.75
-0.58	3.08
-0.58	-2.39
-0.57	2.25
-0.57	3.01
-0.56	-2.25
-0.56	1.86
-0.56	-1.83
-0.56	2.22
-0.55	-2.85
-0.55	-1.94
-0.55	2.48
-0.55	2.66
-0.54	-2.28
-0.54	2.86
-0.54	1.43
-0.54	1.74
-0.54	-1.85
-0.53	2.13
-0.53	-0.12
-0.52	1.75
-0.52	-1.3
-0.52	-2.14
-0.51	2.54
-0.51	2.06
-0.51	-1.21
-0.5	-1.96
-0.5	-1.22
-0.5	-2.47
-0.49	1.63
-0.49	-2.13
-0.49	1.68
-0.48	-1.23
-0.48	1.9
-0.48	2.74
-0.48	-1.61
-0.48	2.12
-0.48	-1.95
-0.47	-1.43
-0.47	-1.62
-0.47	-2.34
-0.47	1.63
-0.46	-2.21
-0.46	-1.85
-0.46	-2.78
-0.45	-1.94
-0.45	-2.24
-0.45	-1.39
-0.45	2.03
-0.45	1.89
-0.45	-2.45
-0.45	2.05
-0.44	-1.14
-0.44	-1.95
-0.43	-2.08
-0.43	-2.43
-0.43	-0.8
-0.43	2.34
-0.43	-1.33
-0.43	3.51
-0.42	2.88
-0.42	-2.41
-0.42	-0.69
-0.42	2.05
-0.42	1.75
-0.41	1.89
-0.41	-2.75
-0.41	-2.9
-0.4	2.39
-0.4	-1.2
-0.4	2.12
-0.4	1.17
-0.4	1.17
-0.39	2.08
-0.39	1.53
-0.39	1.74
-0.38	-1.69
-0.38	0.45
-0.38	-3.08
-0.38	2.28
-0.37	-2.33
-0.37	-1.44
-0.36	-0.81
-0.36	2.27
-0.36	-1.62
-0.36	-0.77
-0.36	-2.37
-0.36	1.8
-0.36	-1.19
-0.36	-1.46
-0.35	1.35
-0.35	1.65
-0.34	-2.74
-0.34	-1.49
-0.34	1.47
-0.34	-2.1
-0.33	1.83
-0.33	-0.27
-0.33	2.22
-0.33	2.53
-0.33	-3.08
-0.33	1.87
-0.33	1.15
-0.32	-2.33
-0.32	-2.44
-0.32	-2.3
-0.32	2.69
-0.32	1.71
-0.32	-0.73
-0.31	-2.42
-0.31	1.1
-0.3	2.02
-0.3	1.78
-0.3	-1.44
-0.3	2.63
-0.3	-0.69
-0.29	-0.89
-0.29	-0.49
-0.28	1.59
-0.27	1.71
-0.27	2.62
-0.27	-1.87
-0.26	3.28
-0.26	-1.37
-0.25	1.9
-0.25	-1.64
-0.25	3.07
-0.25	-1.72
-0.25	-1.87
-0.24	-2.48
-0.24	0.54
-0.24	-1.19
-0.22	2.65
-0.21	-0.04
-0.21	-1.65
-0.21	1.65
-0.2	-0.65
-0.2	-1.97
-0.2	-1.71
-0.19	-1.63
-0.19	-2.69
-0.19	1.02
-0.18	-0.94
-0.18	1.78
-0.18	1.9
-0.17	-2.03
-0.17	-1.36
-0.17	-0.24
-0.16	1.79
-0.16	1.95
-0.14	-0.75
-0.13	-1.24
-0.13	1.79
-0.12	-0.11
-0.12	-2.32
-0.12	-2.86
-0.12	-2
-0.11	-1.88
-0.11	-0.94
-0.11	-0.94
-0.11	-1.21
-0.1	1.4
-0.1	-2.04
-0.1	-1.43
-0.1	1.98
-0.09	-1.04
-0.07	-1.51
-0.07	-1.67
-0.06	2.55
-0.06	-1.05
-0.06	-1.72
-0.06	-1.43
-0.06	-1.47
-0.06	-0.09
-0.04	-0.81
-0.04	-2.38
-0.04	-0.4
-0.02	-1.22
-0.02	1.56
-0.02	-1.69
-0.01	2.36
0	-1.5
0	-0.67
0.01	2.96
0.01	-0.7
0.02	-2.1
0.02	-1.2
0.02	-0.16
0.03	-1.41
0.03	2.02
0.03	-2.65
0.04	-0.33
0.04	-1.64
0.05	-1.85
0.05	-1.08
0.06	-1.12
0.06	-2.05
0.07	-1.42
0.07	-0.65
0.08	1.88
0.08	-1.13
0.08	-0.31
0.08	-0.93
0.09	-2.04
0.1	-1.05
0.11	-1.4
0.11	2.29
0.12	-1.25
0.13	-1.41
0.13	-1.63
0.13	-0.52
0.15	-0.76
0.16	-1.37
0.16	-1.05
0.16	-1.18
0.17	-0.25
0.17	-0.83
0.17	-0.77
0.17	-1.64
0.18	-2.26
0.18	-1.29
0.19	-1.22
0.19	-1.55
0.19	-0.3
0.19	-1.03
0.2	-1.24
0.2	-0.66
0.21	-0.93
0.21	1.81
0.21	-0.89
0.21	-1.1
0.22	-1.5
0.23	-0.46
0.24	-1.45
0.25	-1.64
0.25	-0.64
0.25	-0.28
0.26	-1.07
0.27	-0.25
0.27	-0.86
0.27	0.41
0.27	-0.21
0.28	-1.37
0.28	-1.65
0.29	-0.64
0.29	-1.17
0.3	-1.48
0.3	-1.2
0.3	-0.68
0.31	-0.19
0.31	-0.54
0.31	-1.12
0.31	-0.84
0.32	-0.63
0.32	-0.97
0.32	-1.42
0.33	-0.5
0.33	-2.44
0.33	-0.77
0.34	-0.07
0.34	-0.64
0.34	-0.97
0.34	-0.89
0.35	-1.22
0.35	-1.09
0.35	2.16
0.35	-1.1
0.35	-0.37
0.36	-1.32
0.36	-1.45
0.37	-1.54
0.37	-1.04
0.37	2.25
0.37	-0.49
0.37	-0.68
0.38	-1.11
0.38	-0.81
0.38	-0.15
0.38	-0.63
0.39	-1.26
0.39	-1.99
0.4	-2.29
0.4	-1.03
0.4	-1.29
0.4	-0.66
0.41	-2.04
0.41	-1.77
0.41	-1.15
0.41	-1.49
0.42	-1.66
0.42	-1.46
0.42	-0.74
0.42	2.35
0.42	-1.57
0.42	-1.33
0.43	-0.53
0.43	-1.01
0.43	-0.8
0.43	-0.56
0.44	-0.77
0.44	-0.42
0.44	-0.46
0.45	-0.39
0.45	-1.12
0.45	-1.2
0.45	-1.25
0.46	-1.1
0.46	0.03
0.46	-0.36
0.47	-0.36
0.47	-0.75
0.48	-0.47
0.48	-0.73
0.48	-1.81
0.49	-1
0.49	-0.9
0.49	-1.44
0.49	-1.06
0.5	-1.5
0.5	-2.31
0.51	-0.92
0.51	-1
0.52	-0.7
0.52	-1.33
0.52	-1.11
0.53	-1.61
0.53	-1.48
0.53	-1.81
0.54	-0.84
0.54	-1.3
0.54	-1.31
0.54	-1.23
0.55	-1.38
0.55	-0.45
0.55	-1.7
0.55	-1.72
0.55	-0.98
0.55	-1.5
0.56	-1.43
0.56	-0.69
0.56	-1.52
0.57	-0.99
0.57	-1.96
0.58	-1.17
0.58	-1.58
0.59	-0.56
0.59	-0.53
0.59	-0.84
0.6	-0.43
0.6	-1.21
0.61	-0.87
0.61	-0.55
0.63	-0.59
0.63	-0.63
0.63	-0.75
0.64	-1.33
0.64	-1.19
0.64	-1.45
0.64	-1.85
0.65	-1.12
0.65	-0.41
0.65	-0.2
0.65	-1.48
0.65	-1.06
0.65	-1.55
0.65	-1.3
0.66	-0.55
0.66	-1.12
0.66	-0.3
0.67	-0.57
0.67	-1.69
0.68	0.2
0.68	-1.46
0.68	-0.65
0.68	-1.59
0.69	-0.47
0.69	-0.68
0.7	-1.22
0.7	0.57
0.7	-1.17
0.7	-1.1
0.71	-0.86
0.71	-0.18
0.71	-1.91
0.72	-0.67
0.72	-0.67
0.73	-0.82
0.73	-1.78
0.74	-0.34
0.74	-0.52
0.75	-0.16
0.75	0.23
0.75	-0.76
0.77	-0.64
0.77	-1.29
0.77	-2.23
0.78	-1.89
0.78	-0.41
0.78	-1.22
0.78	-1.46
0.78	-0.54
0.78	-0.52
0.79	-1.63
0.79	-0.36
0.79	-0.09
0.8	-1.7
0.8	-0.98
0.8	-0.59
0.81	-0.64
0.81	-0.94
0.81	-1.43
0.82	-0.58
0.82	0.73
0.82	-0.95
0.82	1.13
0.82	-0.85
0.82	-1.47
0.82	-0.69
0.83	-0.88
0.83	-1.41
0.83	-1.3
0.83	1.06
0.83	-1.03
0.84	-0.21
0.85	-0.81
0.85	-0.12
0.85	-1.97
0.85	-1.16
0.85	1.79
0.85	-1.36
0.85	-0.62
0.85	-0.8
0.86	-1.66
0.86	-1.91
0.86	-0.39
0.86	-0.98
0.86	-0.8
0.86	-0.85
0.87	-1.54
0.87	-1.19
0.87	-1.56
0.88	-1.48
0.89	-0.26
0.89	0.19
0.9	-1.62
0.91	-1.42
0.92	-0.24
0.92	-0.64
0.92	-0.94
0.93	0.49
0.93	-0.14
0.94	-1.03
0.95	-0.52
0.96	0.93
0.96	1.3
0.96	-0.25
0.96	-1.57
0.97	-1.5
0.99	-1.24
0.99	0.23
0.99	-0.16
0.99	-1.07
0.99	-0.49
1	-1.23
1.01	-1.19
1.01	-1.55
1.01	-0.08
1.01	-1.07
1.01	1.58
1.01	-0.06
1.01	-0.89
1.02	0.92
1.02	0.92
1.02	-1.13
1.02	-1.73
1.04	-1.18
1.04	-0.81
1.04	-0.28
1.05	1.25
1.05	-0.44
1.06	-1.44
1.06	-0.35
1.06	-0.77
1.07	-0.81
1.07	-0.97
1.07	-1.42
1.08	-1.25
1.08	1.67
1.09	1.13
1.1	1.99
1.1	0.39
1.12	-0.09
1.12	1.54
1.13	-0.09
1.13	0.55
1.14	0.61
1.14	-0.23
1.16	0.83
1.16	0.8
1.16	-0.92
1.16	-0.99
1.17	-0.84
1.17	-0.91
1.18	-0.53
1.19	-1.24
1.19	0.83
1.19	-1.14
1.2	-0.67
1.21	-1.25
1.21	1.15
1.24	-1.19
1.24	1
1.24	1.02
1.25	-1.19
1.26	1.84
1.27	-1.27
1.27	1.18
1.27	2.29
1.27	-0.88
1.27	-2.03
1.28	0.66
1.28	-1.25
1.28	0.67
1.29	-1.19
1.3	0.98
1.3	1.26
1.3	-0.46
1.31	-1.69
1.31	-1.9
1.32	1.33
1.32	-1.47
1.33	0.41
1.33	0.36
1.33	-0.6
1.34	1.49
1.34	-1.2
1.34	-1.27
1.36	1.79
1.36	-1.81
1.36	-0.56
1.36	-1.99
1.37	-0.58
1.37	1.42
1.37	1.54
1.37	-0.95
1.38	0.77
1.38	1.31
1.38	0.5
1.4	-1
1.4	1
1.41	-1.03
1.41	1.27
1.42	1.08
1.42	-0.56
1.42	2.04
1.44	0.72
1.44	0.42
1.44	0.77
1.45	1.12
1.45	1.33
1.45	1.38
1.47	1.22
1.48	0.65
1.48	1.58
1.48	1.25
1.48	0.49
1.49	-0.16
1.49	1.18
1.5	1.13
1.51	-1.24
1.51	-0.94
1.51	-1.9
1.51	0.34
1.51	0.9
1.51	0.3
1.52	1.61
1.52	0.55
1.52	0.98
1.53	0.43
1.53	1.17
1.54	0.86
1.55	0.7
1.57	1.08
1.57	1.18
1.58	-0.15
1.58	1.22
1.58	1.27
1.58	-0.85
1.58	1.24
1.58	-0.97
1.58	0.9
1.59	0.46
1.59	0.28
1.59	1.7
1.6	0.73
1.6	0.68
1.6	0.65
1.6	0.56
1.6	1.59
1.6	-0.2
1.6	1.05
1.61	-0.04
1.63	0.82
1.66	0.95
1.66	0.32
1.66	0.85
1.66	0.56
1.66	0.62
1.68	2.1
1.68	0.93
1.68	1.4
1.69	0.81
1.7	0.54
1.7	0.15
1.7	0.63
1.7	1.22
1.71	1.67
1.71	1.05
1.71	0.33
1.71	1.56
1.72	0.84
1.73	0.84
1.73	1.17
1.74	0.76
1.75	1.2
1.75	0.7
1.75	0.46
1.76	1
1.76	0.98
1.76	1.66
1.77	1.38
1.77	1.25
1.77	1.18
1.78	1.29
1.78	0.37
1.79	0.69
1.79	1.24
1.8	2.17
1.8	0.19
1.81	1.58
1.81	1.92
1.81	0.03
1.81	1.19
1.82	0.41
1.82	1.09
1.82	0.97
1.82	1.51
1.83	0.23
1.83	0.82
1.83	1.6
1.84	1.25
1.84	1.05
1.84	1.13
1.85	1.2
1.85	0.93
1.85	1.8
1.85	1.11
1.85	1.92
1.85	1.9
1.86	1.03
1.86	-0.09
1.87	0.68
1.87	1.1
1.87	1
1.87	0.72
1.88	0.79
1.88	0.55
1.88	1.44
1.88	0.62
1.88	0.99
1.88	1.57
1.89	1.09
1.89	1.07
1.89	0.92
1.89	1.3
1.9	0.38
1.9	0.75
1.9	1.04
1.9	1.21
1.91	0.81
1.91	1.2
1.91	1.33
1.92	1.24
1.92	1.04
1.92	0.46
1.92	0.44
1.92	0.98
1.92	0.49
1.92	1.1
1.93	1.06
1.93	0.11
1.93	0.59
1.93	0.55
1.94	-0.73
1.94	1.4
1.94	0.64
1.94	0.56
1.94	-1.2
1.94	1.11
1.95	0.57
1.95	0.41
1.96	0.65
1.96	-0.07
1.96	1.64
1.96	1.48
1.97	1.4
1.97	0.24
1.97	0.59
1.99	0.21
1.99	0.62
1.99	2.11
1.99	0.84
1.99	0.79
2	1.02
2	1.52
2.01	1.03
2.02	0.44
2.02	1.21
2.02	1.78
2.03	1.63
2.03	0.44
2.03	1.14
2.03	0.64
2.04	1.48
2.04	1.74
2.05	-0.16
2.05	0.71
2.05	0.63
2.06	1.13
2.06	0.99
2.06	0.97
2.07	1.3
2.08	1.79
2.08	1.16
2.09	1.52
2.09	0.9
2.1	1.19
2.11	0.24
2.11	1.58
2.11	0.2
2.11	0.27
2.11	0.72
2.11	1.55
2.12	0.75
2.12	1.49
2.12	1.07
2.13	1.08
2.14	1.1
2.14	1.66
2.14	2.15
2.14	-1.07
2.15	0.75
2.15	1.15
2.15	0.62
2.16	0.77
2.17	0.77
2.18	1
2.18	1.04
2.18	0.82
2.18	0.69
2.19	0.47
2.19	0.22
2.19	0.77
2.2	0.24
2.2	1.35
2.2	1.13
2.2	0.76
2.21	0.87
2.22	0.01
2.22	0.43
2.22	0.83
2.23	0.06
2.23	0.87
2.25	0.38
2.28	0.97
2.28	1.47
2.28	0.71
2.29	1.23
2.29	1.24
2.3	0.72
2.31	0.93
2.31	1.27
2.31	0.59
2.32	1.11
2.32	0.33
2.32	1.29
2.33	0.77
2.34	-0.24
2.34	1.73
2.35	1.1
2.35	1.11
2.36	0.79
2.37	1.02
2.37	0.56
2.38	0.74
2.38	2.07
2.38	0.98
2.39	0.89
2.39	1.13
2.4	1.46
2.4	0.29
2.41	0.9
2.41	1.1
2.41	1.57
2.42	1.15
2.42	1.36
2.42	0.7
2.42	0.51
2.43	1.72
2.43	0.9
2.44	0.55
2.44	0.2
2.44	0.95
2.44	0.54
2.44	0.73
2.45	1.31
2.46	0.53
2.47	0.15
2.47	0.6
2.48	0.15
2.49	0.7
2.49	1.2
2.49	1.42
2.49	1.71
2.49	1.01
2.5	0.95
2.5	0.97
2.5	0.81
2.5	1.57
2.51	1.69
2.51	1.44
2.51	0.55
2.52	2.02
2.52	0.62
2.52	1.45
2.52	2.01
2.52	0.94
2.52	1.42
2.53	1.5
2.54	1.18
2.55	1.48
2.56	1.93
2.56	1.04
2.56	1.43
2.57	-0.35
2.57	1.05
2.58	1.01
2.58	1.93
2.58	0.55
2.59	0.09
2.59	0.88
2.61	1.2
2.62	0.64
2.64	1.49
2.64	1.42
2.65	1.03
2.65	0.88
2.65	0.28
2.66	1.67
2.68	0.92
2.7	1.06
2.72	1.85
2.72	0.96
2.74	0.51
2.74	0.57
2.75	0.75
2.75	1.16
2.77	1.69
2.79	1.1
2.79	1.25
2.8	1.88
2.82	0.66
2.83	1.27
2.84	0.97
2.85	1.32
2.85	1.34
2.86	0.96
2.86	0.85
2.91	0.93
2.92	0.76
2.92	2.11
2.92	-0.32
2.93	0.97
2.96	0.44
3.01	1
3.01	0.9
3.02	0.9
3.04	1.77
3.05	1.11
3.06	1.42
3.14	1.74
3.14	1.57
3.19	1.25
3.35	0.72
3.49	0.96
